rank_gfa,address_fin,postal_code,postal_office_fin,main_purpose_fi,gross_floor_area,volume,number_of_storeys,apartment_count,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,completion_date,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key
2152,Sahaajankatu 1 | Sahaajankuja 3,00880,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",5064,27374,2,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,1989-12-31,Tyhjillään,103216997J,09104300760008,25.04827132,60.1995653,7e674d2e-0d54-49a4-a63c-f55565cf2409
2153,Itämerenkuja 1 | Itämerenkatu 16 | Ruoholahdentori 2 | Harmajankatu 2,00180,HELSINKI,Kerrostalo,5063,16550,6,59,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1994-12-31,Käytetään vakinaiseen asumiseen,1032950468,09102000090001,24.91335535,60.16250755,0589faaf-b5dd-4431-9979-1bee52652efe
2154,Uutiskatu 3,00240,HELSINKI,Kerrostalo,5061,20995,7,111,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2018-06-21,Käytetään vakinaiseen asumiseen,103593800F,09101700530008,24.92034711,60.20386284,3dd205ed-ed7f-4a72-ba3f-23fd096fb172
2155,Maustetehtaankatu 9,00990,HELSINKI,Kerrostalo,5061,19350,6,62,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2005-09-30,Käytetään vakinaiseen asumiseen,1023287104,09105401880001,25.15439898,60.206878,456c26ae-5fa6-46cb-89a6-771162457534
2156,Arkadiankatu 19 | Fredrikinkatu 64,00100,HELSINKI,Kerrostalo,5060,19810,5,46,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Tiili,Paikalla tehty,1912-01-01,Käytetään vakinaiseen asumiseen,1031997772,09101304180064,24.92666954,60.1714471,ce6e1de7-9312-4756-b4b6-56967adff07d
2157,Töölöntullinkatu 4a,00250,HELSINKI,Kerrostalo,5057,14907,6,52,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2023-03-24,Käytetään vakinaiseen asumiseen,1038324008,09101505200022,24.91393828,60.18969635,0b58f272-f045-4a22-9939-814c0fa46367
2158,Mannerheimintie 164a,00300,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",5056,30070,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,2009-08-19,Tyhjillään,1032570386,09101607110013,24.89996199,60.19924812,e1f84e20-60c9-4cb2-8134-38339e5721c6
2159,Kutomotie 6,00380,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",5054,19703,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1966-01-01,Tyhjillään,101632962M,09104600010003,24.87437212,60.21382245,c9916437-8961-4fbc-8855-87fbcbcb65f0
2160,Fleminginkatu 19 | Helsinginkatu 19,00500,HELSINKI,Kerrostalo,5053,18415,8,77,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,,1963-01-01,Käytetään vakinaiseen asumiseen,103190192V,09101205750019,24.95354558,60.18743057,6ec2bb8c-32ab-4bd6-a2c6-b97dbe6f8c08
2161,Merikasarminkatu 7 | Matruusinkuja | Merisotilaantori 3,00160,HELSINKI,Kerrostalo,5052,16887,6,48,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1984-01-01,Käytetään vakinaiseen asumiseen,103122879F,09100800050002,24.97588977,60.16813934,c51fdbdd-6613-43ff-af53-aa03e49f7ac2
